dataset,ph,variant_id,method,family,graph,rmse_mean,rmse_std,rmse_min,rmse_max,mae_mean,mae_std,mae_min,mae_max,n_seeds,wins_vs_tgcn_of_5,n_edges
shenzhen,3,gcn_cgsl,GCN-cGSL,GCN,"DAGMA contemporaneous, symmetrized",4.700940,0.001888,4.698700,4.703400,3.080760,0.002339,3.077600,3.083800,5,5,16
shenzhen,3,gcn_multigsl,GCN-MultiGSL,GCN,DAGMA multi-lag union,4.878200,0.005876,4.871400,4.887100,3.109680,0.003815,3.103000,3.112700,5,5,2
shenzhen,4,physical,T-GCN,T-GCN,physical road network,5.632580,0.057014,5.573400,5.693700,4.217740,0.016896,4.202500,4.239400,5,0,532
shenzhen,4,no_spatial,T-GCN-NoSpatial,T-GCN,identity (no graph),4.225100,0.008069,4.216000,4.233500,2.833500,0.037608,2.784100,2.880100,5,5,156
shenzhen,4,gsl,T-GCN-GSL,T-GCN,DAGMA contemporaneous,4.369840,0.020776,4.351600,4.404500,2.890980,0.012024,2.870200,2.898800,5,5,8
shenzhen,4,cgsl,T-GCN-cGSL,T-GCN,"DAGMA contemporaneous, symmetrized",4.414680,0.013753,4.393900,4.429300,2.964660,0.056356,2.904900,3.050700,5,5,16
shenzhen,4,multi_gsl,T-GCN-MultiGSL,T-GCN,DAGMA multi-lag (fixed),4.224460,0.002874,4.221000,4.228400,2.878380,0.029207,2.850400,2.922800,5,5,2
shenzhen,4,multi_gsl_weighted,T-GCN-MultiGSL-Weighted,T-GCN,DAGMA multi-lag (learned global weights),4.224600,0.002832,4.221000,4.228400,2.879080,0.029369,2.850500,2.923000,5,5,2
shenzhen,4,multi_gsl_mix,T-GCN-MultiGSL-Mix,T-GCN,DAGMA multi-lag (per-node gating),4.217120,0.010229,4.206900,4.232500,2.837820,0.075293,2.762500,2.957800,5,5,2
shenzhen,4,gcn_physical,GCN,GCN,physical road network,6.001080,0.000893,6.000000,6.002100,4.444920,0.001337,4.442600,4.446000,5,0,532
shenzhen,4,gcn_no_spatial,GCN-NoSpatial,GCN,identity (no graph),4.217100,0.001700,4.215600,4.220000,2.817040,0.014676,2.802100,2.837300,5,5,156
shenzhen,4,gcn_gsl,GCN-GSL,GCN,DAGMA contemporaneous,4.957880,0.004974,4.950500,4.964300,3.257580,0.012497,3.239300,3.273100,5,5,8
shenzhen,4,gcn_cgsl,GCN-cGSL,GCN,"DAGMA contemporaneous, symmetrized",4.728300,0.001828,4.727100,4.731500,3.110520,0.004631,3.106600,3.118200,5,5,16
shenzhen,4,gcn_multigsl,GCN-MultiGSL,GCN,DAGMA multi-lag union,4.904380,0.002866,4.902400,4.909400,3.140520,0.006897,3.131900,3.148500,5,5,2
